age,gender,know_about_condoms,public_sector,private_medical_sector,private_pharmacy,shop,cbd_agent,friends_and_relatives,other_sources,dont_know_a_source,number_of_people
15-19,female,95.9,18.8,4.3,3.8,18,1,0.8,0.4,53,801
20-24,female,97.7,33.9,7.6,4.6,15.2,1.6,0.4,0.7,36,1367
25-29,female,97.4,40.3,9,5.6,10.1,2.5,0.5,0.6,31.3,1331
30-39,female,96.3,36.7,8.4,4,11,3.4,0.2,0.5,35.9,1960
40-49,female,93.8,31.3,6.2,2.7,7.9,3.9,0.6,0.5,47,1122
Total,female,96.3,33.8,7.5,4.2,12,2.6,0.5,0.5,39,6581
15-19,male,99.9,17.3,4,5.1,38,3.9,5.7,1.8,24.2,440
20-24,male,99.4,22.5,7.8,5.6,37.5,6.9,3.6,2,14,534
25-29,male,99.2,22.6,10,7.8,27.9,6.5,4.2,1.8,19.1,457
30-39,male,99.3,26.1,7.9,6.1,26.4,5.3,2.7,2.1,23.5,785
40-49,male,97.9,23.2,7.3,4.9,25.1,6.4,1.5,0.9,30.7,563
50-54,male,97.9,19.5,3.7,2.8,20.2,4.1,2.1,1.9,45.8,183
Total,male,99,22.6,7.3,5.7,29.7,5.7,3.3,1.8,23.9,2962
