var,know_about_condoms,public_sector,private_medical_sector,private_pharmacy,shop,cbd_agent,friends_and_relatives,other_sources,dont_know_a_source,number_of_people
Age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 15-19,95.9,18.8,4.3,3.8,18.0,1.0,0.8,0.4,53.0,801
 20-24,97.7,33.9,7.6,4.6,15.2,1.6,0.4,0.7,36.0,"1,367"
 25-29,97.4,40.3,9.0,5.6,10.1,2.5,0.5,0.6,31.3,"1,331"
 30-39,96.3,36.7,8.4,4.0,11.0,3.4,0.2,0.5,35.9,"1,960"
 40-49,93.8,31.3,6.2,2.7,7.9,3.9,0.6,0.5,47.0,"1,122"
Marital status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Never married,96.0,36.2,7.7,4.0,10.4,2.7,0.4,0.6,38.1,"4,785"
 Currently married,96.2,34.4,6.8,3.1,11.5,3.9,0.0,0.4,39.9,668
 Formerly married,98.0,23.0,7.0,5.6,19.1,1.7,0.9,0.5,42.2,"1,127"
Residence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Urban,99.0,30.1,9.3,9.8,18.7,1.0,0.4,0.6,30.1,"1,558"
 Rural,95.5,34.9,6.9,2.5,9.9,3.1,0.5,0.5,41.7,"5,023"
Province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Nairobi,99.4,20.5,8.2,10.8,23.6,1.1,0.6,0.6,34.7,647
 Central,97.9,41.3,8.1,5.6,10.8,1.7,0.2,0.0,32.3,716
 Coast,92.2,34.7,11.4,1.8,9.8,0.5,0.4,0.0,41.3,498
 Eastern,97.8,29.7,9.1,1.6,15.7,3.5,1.0,0.6,38.7,"1,129"
 Nyanza,98.2,43.3,5.6,2.6,7.8,3.0,0.4,0.7,36.7,"1,421"
 Rift Valley,92.2,26.2,7.9,5.1,10.2,2.1,0.3,0.7,47.6,"1,428"
 Western,97.0,39.9,3.8,4.0,10.3,5.3,0.2,0.6,35.7,741
Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 No education,87.4,26.5,4.5,1.2,5.7,1.9,0.3,0.1,59.9,844
 Primary incomplete,95.5,30.6,5.8,2.4,10.8,2.5,0.5,0.5,46.8,"2,262"
 Primary complete,98.1,34.1,8.4,2.6,12.5,4.1,0.3,0.8,37.2,"1,588"
 Secondary+,99.8,40.5,10.0,9.0,15.8,1.8,0.6,0.6,21.7,"1,887"
Total,96.3,33.8,7.5,4.2,12.0,2.6,0.5,0.5,39.0,"6,581"
 Age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  15-19,99.9,17.3,4.0,5.1,38.0,3.9,5.7,1.8,24.2,440
  20-24,99.4,22.5,7.8,5.6,37.5,6.9,3.6,2.0,14.0,534
  25-29,99.2,22.6,10.0,7.8,27.9,6.5,4.2,1.8,19.1,457
  30-39,99.3,26.1,7.9,6.1,26.4,5.3,2.7,2.1,23.5,785
  40-49,97.9,23.2,7.3,4.9,25.1,6.4,1.5,0.9,30.7,563
  50-54,97.9,19.5,3.7,2.8,20.2,4.1,2.1,1.9,45.8,183
 Marital status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Never married,98.6,24.8,7.9,5.5,24.2,5.9,2.5,1.4,27.8,"1,784"
  Currently married,98.7,27.5,2.7,6.7,33.5,4.2,4.6,0.7,20.1,126
  Formerly married,99.7,18.5,6.6,5.9,38.7,5.6,4.4,2.6,17.8,"1,052"
 Residence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Urban,99.8,17.8,7.5,9.5,36.8,1.9,3.3,1.5,21.7,842
  Rural,98.7,24.6,7.1,4.2,26.9,7.2,3.3,1.9,24.9,"2,120"
 Province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Nairobi,100.0,19.0,6.3,8.2,33.5,3.8,3.2,1.3,24.7,405
  Central,99.4,24.5,11.7,4.4,34.9,2.6,3.0,3.2,15.7,288
  Coast,97.9,16.7,3.4,6.3,43.2,2.2,6.7,3.6,17.8,217
  Eastern,100.0,17.0,5.0,2.8,48.7,5.7,4.4,1.7,14.8,540
  Nyanza,100.0,34.0,4.8,8.3,14.9,4.2,3.1,2.2,28.4,563
  Rift Valley,97.5,24.3,13.1,4.1,28.8,6.3,2.5,1.2,19.7,674
  Western,97.9,14.4,2.2,7.1,3.3,16.3,1.0,0.2,55.6,275
 Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  No education,85.6,13.9,3.7,0.0,19.6,2.3,1.7,0.0,58.8,121
  Primary incomplete,99.5,20.1,4.5,3.1,26.0,7.4,4.6,2.3,32.0,778
  Primary complete,99.0,20.6,8.5,3.8,32.3,5.7,2.4,2.1,24.7,783
  Secondary+,100.0,26.3,8.5,8.9,31.4,5.0,3.1,1.4,15.3,"1,280"
 Total,99.0,22.6,7.3,5.7,29.7,5.7,3.3,1.8,23.9,"2,962"
